precio,superficie,baños,habitaciones,precio/metro,Barrio
4.900,234,5,5,21,La Dreta de l'Eixample 
1.300,114,2,3,11,L'Antiga Esquerra de l'Eixample 
2.850,171,2,3,17,La Dreta de l'Eixample 
650,40,1,1,16,La Nova Esquerra de l'Eixample 
1.990,180,2,4,11,La Dreta de l'Eixample 
1.200,100,2,4,12,La Sagrada Família 
2.200,90,2,3,24,La Dreta de l'Eixample 
1.400,63,2,3,22,La Nova Esquerra de l'Eixample 
1.400,114,2,3,12,La Dreta de l'Eixample 
1.350,100,2,3,14,L'Antiga Esquerra de l'Eixample 
990,73,1,3,14,La Nova Esquerra de l'Eixample 
1.650,100,2,2,17,La Dreta de l'Eixample 
2.000,130,3,4,15,La Dreta de l'Eixample 
1.050,66,1,2,16,La Sagrada Família 
2.800,120,2,3,23,La Dreta de l'Eixample 
950,72,2,3,13,La Dreta de l'Eixample 
960,60,1,3,16,El Fort Pienc 
1.320,45,1,1,29,El Fort Pienc 
1.400,77,2,2,18,La Nova Esquerra de l'Eixample 
2.700,185,2,4,15,La Dreta de l'Eixample 
1.300,86,2,3,15,La Sagrada Família 
1.050,63,1,2,17,L'Antiga Esquerra de l'Eixample 
800,68,1,1,12,La Nova Esquerra de l'Eixample 
1.000,70,2,4,14,Sant Antoni 
1.100,68,1,1,16,La Dreta de l'Eixample 
975,50,1,1,20,La Nova Esquerra de l'Eixample 
1.200,114,2,3,11,La Sagrada Família 
1.000,93,2,4,11,Sant Antoni 
990,71,1,2,14,El Fort Pienc 
1.290,90,2,3,14,La Sagrada Família 
635,32,1,1,20,L'Antiga Esquerra de l'Eixample 
2.445,160,1,5,15,La Dreta de l'Eixample 
1.000,86,2,4,12,La Nova Esquerra de l'Eixample 
1.200,76,1,2,16,L'Antiga Esquerra de l'Eixample 
975,58,1,1,17,La Dreta de l'Eixample 
2.000,105,2,3,19,La Dreta de l'Eixample 
878,45,1,1,20,La Nova Esquerra de l'Eixample 
1.050,65,1,2,16,La Nova Esquerra de l'Eixample 
1.300,130,2,3,10,La Dreta de l'Eixample 
1.100,87,2,3,13,La Sagrada Família 
2.800,170,2,2,16,La Sagrada Família 
1.000,100,2,4,10,Sant Antoni 
2.500,225,3,5,11,La Dreta de l'Eixample 
3.000,134,2,3,22,La Dreta de l'Eixample 
1.800,115,2,3,16,L'Antiga Esquerra de l'Eixample 
990,97,2,2,10,La Nova Esquerra de l'Eixample 
1.590,135,2,5,12,La Dreta de l'Eixample 
2.900,123,2,3,24,L'Antiga Esquerra de l'Eixample 
1.300,65,1,2,20,La Dreta de l'Eixample 
950,50,1,2,19,La Dreta de l'Eixample 
3.500,240,3,6,15,La Dreta de l'Eixample 
1.400,120,2,3,12,L'Antiga Esquerra de l'Eixample 
1.090,73,1,3,15,La Nova Esquerra de l'Eixample 
800,67,1,2,12,La Nova Esquerra de l'Eixample 
3.500,200,2,2,18,La Dreta de l'Eixample 
824,55,1,1,15,L'Antiga Esquerra de l'Eixample 
900,80,1,2,11,La Sagrada Família 
2.600,130,2,4,20,El Fort Pienc 
1.390,82,2,3,17,L'Antiga Esquerra de l'Eixample 
1.400,74,1,2,19,La Dreta de l'Eixample 
1.750,114,2,3,15,La Dreta de l'Eixample 
1.280,111,2,3,12,L'Antiga Esquerra de l'Eixample 
1.050,55,1,2,19,La Nova Esquerra de l'Eixample 
1.200,89,2,4,13,L'Antiga Esquerra de l'Eixample 
980,76,1,3,13,La Sagrada Família 
1.550,100,2,3,16,La Dreta de l'Eixample 
1.300,80,2,3,16,La Dreta de l'Eixample 
1.480,105,2,4,14,L'Antiga Esquerra de l'Eixample 
1.150,80,1,3,14,El Fort Pienc 
950,70,2,2,14,La Nova Esquerra de l'Eixample 
6.200,230,2,2,27,L'Antiga Esquerra de l'Eixample 
1.460,65,1,1,22,L'Antiga Esquerra de l'Eixample 
1.400,102,2,4,14,La Sagrada Família 
1.000,100,2,2,10,La Dreta de l'Eixample 
1.300,125,2,4,10,La Nova Esquerra de l'Eixample 
1.330,99,2,3,13,La Dreta de l'Eixample 
1.500,106,2,3,14,La Dreta de l'Eixample 
1.000,85,2,4,12,La Sagrada Família 
1.200,125,2,4,10,La Nova Esquerra de l'Eixample 
2.250,110,2,3,20,La Dreta de l'Eixample 
2.800,200,2,5,14,La Dreta de l'Eixample 
800,55,1,1,15,La Sagrada Família 
1.800,66,1,2,27,La Dreta de l'Eixample 
1.950,145,2,4,13,La Dreta de l'Eixample 
2.700,110,2,4,25,La Dreta de l'Eixample 
1.000,60,2,4,17,La Dreta de l'Eixample 
4.500,147,3,3,31,La Dreta de l'Eixample 
1.700,80,1,1,21,La Dreta de l'Eixample 
1.550,80,2,2,19,La Dreta de l'Eixample 
1.250,120,2,4,10,La Nova Esquerra de l'Eixample 
1.250,65,1,1,19,La Dreta de l'Eixample 
1.400,105,2,3,13,La Nova Esquerra de l'Eixample 
2.600,160,3,3,16,La Dreta de l'Eixample 
1.500,85,2,3,18,El Fort Pienc 
1.800,60,1,2,30,La Dreta de l'Eixample 
1.360,99,2,4,14,La Dreta de l'Eixample 
1.100,100,2,3,11,La Sagrada Família 
950,85,2,4,11,El Fort Pienc 
1.150,69,2,3,17,El Fort Pienc 
1.150,75,2,3,15,L'Antiga Esquerra de l'Eixample 
1.100,75,2,2,15,La Dreta de l'Eixample 
990,90,2,3,11,Sant Antoni 
1.400,90,2,3,16,La Nova Esquerra de l'Eixample 
1.300,120,2,4,11,La Nova Esquerra de l'Eixample 
1.350,104,2,4,13,El Fort Pienc 
1.100,50,1,1,22,El Fort Pienc 
1.450,101,2,3,14,L'Antiga Esquerra de l'Eixample 
1.500,90,1,2,17,La Dreta de l'Eixample 
1.000,75,1,3,13,La Dreta de l'Eixample 
1.200,99,2,3,12,Sant Antoni 
1.100,62,1,2,18,L'Antiga Esquerra de l'Eixample 
1.100,60,1,1,18,La Nova Esquerra de l'Eixample 
1.200,80,1,4,15,La Nova Esquerra de l'Eixample 
1.300,141,3,5,9,L'Antiga Esquerra de l'Eixample 
1.050,70,1,2,15,L'Antiga Esquerra de l'Eixample 
700,45,1,1,16,La Sagrada Família 
1.200,80,2,2,15,La Dreta de l'Eixample 
1.500,85,2,4,18,La Sagrada Família 
1.400,68,1,1,21,La Sagrada Família 
1.300,85,1,4,15,L'Antiga Esquerra de l'Eixample 
1.500,80,2,3,19,La Sagrada Família 
2.600,89,2,3,29,La Dreta de l'Eixample 
785,62,2,4,13,El Fort Pienc 
890,80,1,3,11,Sant Antoni 
690,40,1,2,17,El Fort Pienc 
1.100,76,1,2,14,La Nova Esquerra de l'Eixample 
1.500,70,1,2,21,La Dreta de l'Eixample 
900,50,1,1,18,L'Antiga Esquerra de l'Eixample 
2.990,157,2,3,19,La Dreta de l'Eixample 
1.100,67,1,3,16,La Nova Esquerra de l'Eixample 
1.300,91,1,2,14,L'Antiga Esquerra de l'Eixample 
1.200,90,2,3,13,La Sagrada Família 
2.000,95,2,3,21,La Dreta de l'Eixample 
2.200,85,2,3,26,La Dreta de l'Eixample 
980,65,1,2,15,Sant Antoni 
1.900,120,2,3,16,La Dreta de l'Eixample 
1.700,175,3,3,10,L'Antiga Esquerra de l'Eixample 
2.700,122,2,3,22,La Dreta de l'Eixample 
1.350,81,2,3,17,El Fort Pienc 
1.040,77,1,2,14,La Sagrada Família 
1.100,65,1,1,17,La Dreta de l'Eixample 
1.500,100,2,3,15,L'Antiga Esquerra de l'Eixample 
1.950,100,2,2,20,El Fort Pienc 
950,50,1,1,19,La Nova Esquerra de l'Eixample 
1.200,55,1,2,22,L'Antiga Esquerra de l'Eixample 
980,94,2,3,10,La Dreta de l'Eixample 
1.000,76,1,3,13,Sant Antoni 
1.250,96,2,4,13,La Sagrada Família 
950,90,2,2,11,La Nova Esquerra de l'Eixample 
1.400,100,2,3,14,L'Antiga Esquerra de l'Eixample 
825,70,1,2,12,L'Antiga Esquerra de l'Eixample 
1.800,80,2,3,23,L'Antiga Esquerra de l'Eixample 
1.800,170,2,3,11,L'Antiga Esquerra de l'Eixample 
1.250,59,1,1,21,La Sagrada Família 
1.250,95,2,4,13,La Nova Esquerra de l'Eixample 
975,78,1,3,13,Sant Antoni 
700,60,1,1,12,La Sagrada Família 
950,77,1,3,12,La Dreta de l'Eixample 
1.200,60,1,2,20,La Dreta de l'Eixample 
900,80,1,3,11,La Nova Esquerra de l'Eixample 
1.600,65,2,2,25,La Dreta de l'Eixample 
1.100,62,1,2,18,L'Antiga Esquerra de l'Eixample 
1.900,75,1,2,25,La Dreta de l'Eixample 
1.300,95,2,3,14,L'Antiga Esquerra de l'Eixample 
